Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
4.030422317,1,1,1,1,1,1,1,1
4.046318000,1,1,0,1,1,1,1,1
4.046344000,1,1,1,1,1,1,1,1
4.046490000,1,1,0,1,1,1,1,1
4.046514000,1,1,1,1,1,1,1,1
4.046524000,1,1,0,1,1,1,1,1
4.046552000,1,1,1,1,1,1,1,1
4.046564000,1,1,0,1,1,1,1,1
4.046590000,1,1,1,1,1,1,1,1
4.046606000,1,1,0,1,1,1,1,1
4.046632000,1,1,1,1,1,1,1,1
4.046652000,1,1,0,1,1,1,1,1
4.046678000,1,1,1,1,1,1,1,1
4.046700000,1,1,0,1,1,1,1,1
4.046726000,1,1,1,1,1,1,1,1
4.046752000,1,1,0,1,1,1,1,1
4.046776000,1,1,1,1,1,1,1,1
4.046806000,1,1,0,1,1,1,1,1
4.046830000,1,1,1,1,1,1,1,1
4.046846000,1,1,0,1,1,1,1,1
4.046872000,1,1,1,1,1,1,1,1
4.155930000,1,1,0,1,1,1,1,1
4.155956000,1,1,1,1,1,1,1,1
4.156100000,1,1,0,1,1,1,1,1
4.156124000,1,1,1,1,1,1,1,1
4.156134000,1,1,0,1,1,1,1,1
4.156162000,1,1,1,1,1,1,1,1
4.156174000,1,1,0,1,1,1,1,1
4.156200000,1,1,1,1,1,1,1,1
4.156216000,1,1,0,1,1,1,1,1
4.156242000,1,1,1,1,1,1,1,1
4.156260000,1,1,0,1,1,1,1,1
4.156286000,1,1,1,1,1,1,1,1
4.156310000,1,1,0,1,1,1,1,1
4.156334000,1,1,1,1,1,1,1,1
4.156360000,1,1,0,1,1,1,1,1
4.156386000,1,1,1,1,1,1,1,1
4.156414000,1,1,0,1,1,1,1,1
4.156440000,1,1,1,1,1,1,1,1
4.156456000,1,1,0,1,1,1,1,1
4.156482000,1,1,1,1,1,1,1,1
4.271342000,1,1,0,1,1,1,1,1
4.271366000,1,1,1,1,1,1,1,1
4.271510000,1,1,0,1,1,1,1,1
4.271534000,1,1,1,1,1,1,1,1
4.271544000,1,1,0,1,1,1,1,1
4.271572000,1,1,1,1,1,1,1,1
4.271584000,1,1,0,1,1,1,1,1
4.271610000,1,1,1,1,1,1,1,1
4.271626000,1,1,0,1,1,1,1,1
4.271652000,1,1,1,1,1,1,1,1
4.271672000,1,1,0,1,1,1,1,1
4.271698000,1,1,1,1,1,1,1,1
4.271720000,1,1,0,1,1,1,1,1
