Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
5.167739815,1,1,1,1,1,1,1,1
5.225478000,1,1,0,1,1,1,1,1
5.225500000,1,1,1,1,1,1,1,1
5.225514000,1,1,0,1,1,1,1,1
5.225538000,1,1,1,1,1,1,1,1
5.225554000,1,1,0,1,1,1,1,1
5.225578000,1,1,1,1,1,1,1,1
5.225594000,1,1,0,1,1,1,1,1
5.225618000,1,1,1,1,1,1,1,1
5.225640000,1,1,0,1,1,1,1,1
5.225662000,1,1,1,1,1,1,1,1
5.225686000,1,1,0,1,1,1,1,1
5.225710000,1,1,1,1,1,1,1,1
5.225738000,1,1,0,1,1,1,1,1
5.225760000,1,1,1,1,1,1,1,1
5.225790000,1,1,0,1,1,1,1,1
5.225814000,1,1,1,1,1,1,1,1
5.225832000,1,1,0,1,1,1,1,1
5.225856000,1,1,1,1,1,1,1,1
5.354320000,1,1,0,1,1,1,1,1
5.354344000,1,1,1,1,1,1,1,1
5.354358000,1,1,0,1,1,1,1,1
5.354382000,1,1,1,1,1,1,1,1
5.354396000,1,1,0,1,1,1,1,1
5.354420000,1,1,1,1,1,1,1,1
5.354438000,1,1,0,1,1,1,1,1
5.354462000,1,1,1,1,1,1,1,1
5.354482000,1,1,0,1,1,1,1,1
5.354506000,1,1,1,1,1,1,1,1
5.354530000,1,1,0,1,1,1,1,1
5.354554000,1,1,1,1,1,1,1,1
5.354580000,1,1,0,1,1,1,1,1
5.354604000,1,1,1,1,1,1,1,1
5.354634000,1,1,0,1,1,1,1,1
5.354656000,1,1,1,1,1,1,1,1
5.354674000,1,1,0,1,1,1,1,1
5.354698000,1,1,1,1,1,1,1,1
5.476746000,1,1,0,1,1,1,1,1
5.476768000,1,1,1,1,1,1,1,1
5.476782000,1,1,0,1,1,1,1,1
5.476808000,1,1,1,1,1,1,1,1
5.476822000,1,1,0,1,1,1,1,1
5.476846000,1,1,1,1,1,1,1,1
5.476864000,1,1,0,1,1,1,1,1
5.476886000,1,1,1,1,1,1,1,1
5.476908000,1,1,0,1,1,1,1,1
5.476932000,1,1,1,1,1,1,1,1
5.476956000,1,1,0,1,1,1,1,1
5.476978000,1,1,1,1,1,1,1,1
5.477006000,1,1,0,1,1,1,1,1
5.477028000,1,1,1,1,1,1,1,1
5.477058000,1,1,0,1,1,1,1,1
5.477082000,1,1,1,1,1,1,1,1
5.477100000,1,1,0,1,1,1,1,1
5.477124000,1,1,1,1,1,1,1,1
5.587159551,1,1,1,1,1,1,1,1
