Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.684184621,1,1,1,1,1,1,1,1
6.684206000,1,1,0,1,1,1,1,1
6.684214000,1,1,1,1,1,1,1,1
6.684242000,1,1,0,1,1,1,1,1
6.684250000,1,1,1,1,1,1,1,1
6.684292000,1,1,0,1,1,1,1,1
6.684302000,1,1,1,1,1,1,1,1
6.684570000,1,1,0,1,1,1,1,1
6.684580000,1,1,1,1,1,1,1,1
6.684738000,1,1,0,1,1,1,1,1
6.684748000,1,1,1,1,1,1,1,1
6.684778000,1,1,0,1,1,1,1,1
6.684788000,1,1,1,1,1,1,1,1
6.684860000,1,1,0,1,1,1,1,1
6.684868000,1,1,1,1,1,1,1,1
6.684942000,1,1,0,1,1,1,1,1
6.684950000,1,1,1,1,1,1,1,1
6.685022000,1,1,0,1,1,1,1,1
6.685032000,1,1,1,1,1,1,1,1
6.685104000,1,1,0,1,1,1,1,1
6.685112000,1,1,1,1,1,1,1,1
6.685172000,1,1,0,1,1,1,1,1
6.685182000,1,1,1,1,1,1,1,1
6.685210000,1,1,0,1,1,1,1,1
6.685218000,1,1,1,1,1,1,1,1
6.685266000,1,1,0,1,1,1,1,1
6.685276000,1,1,1,1,1,1,1,1
6.685534000,1,1,0,1,1,1,1,1
6.685544000,1,1,1,1,1,1,1,1
6.685704000,1,1,0,1,1,1,1,1
6.685712000,1,1,1,1,1,1,1,1
6.685742000,1,1,0,1,1,1,1,1
6.685752000,1,1,1,1,1,1,1,1
6.685824000,1,1,0,1,1,1,1,1
6.685834000,1,1,1,1,1,1,1,1
6.685906000,1,1,0,1,1,1,1,1
6.685914000,1,1,1,1,1,1,1,1
6.685988000,1,1,0,1,1,1,1,1
6.685996000,1,1,1,1,1,1,1,1
6.686068000,1,1,0,1,1,1,1,1
6.686078000,1,1,1,1,1,1,1,1
6.686140000,1,1,0,1,1,1,1,1
6.686150000,1,1,1,1,1,1,1,1
6.686176000,1,1,0,1,1,1,1,1
6.686186000,1,1,1,1,1,1,1,1
6.686240000,1,1,0,1,1,1,1,1
6.686250000,1,1,1,1,1,1,1,1
6.686500000,1,1,0,1,1,1,1,1
6.686508000,1,1,1,1,1,1,1,1
6.686668000,1,1,0,1,1,1,1,1
6.686678000,1,1,1,1,1,1,1,1
6.686708000,1,1,0,1,1,1,1,1
6.686716000,1,1,1,1,1,1,1,1
6.686788000,1,1,0,1,1,1,1,1
6.686798000,1,1,1,1,1,1,1,1
6.686870000,1,1,0,1,1,1,1,1
6.686880000,1,1,1,1,1,1,1,1
6.686952000,1,1,0,1,1,1,1,1
6.686960000,1,1,1,1,1,1,1,1
6.687032000,1,1,X,1,1,1,1,1
6.687032723,1,1,X,1,1,1,1,1
