name,type,start_time,duration,"tick_us","kind","index","value","reason"
"SentAnalyzer","sync",2.639268,0.000166,"2.964",,,,
"SentAnalyzer","nibble",2.639434,0.000038,,"ST",0x0000000000000000,"1",
"SentAnalyzer","nibble",2.639472,0.000038,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",2.63951,0.000042,,"D",0x0000000000000001,"2",
"SentAnalyzer","nibble",2.639552,0.000044,,"D",0x0000000000000002,"3",
"SentAnalyzer","nibble",2.639596,0.000048,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",2.639644,0.00005,,"D",0x0000000000000004,"5",
"SentAnalyzer","nibble",2.639694,0.000054,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",2.639748,0.00004,,"CRC",0x0000000000000007,"1",
"SentAnalyzer","nibble",2.639788,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","sync",2.765912,0.000168,"3.000",,,,
"SentAnalyzer","nibble",2.76608,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","nibble",2.766116,0.000038,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",2.766154,0.000042,,"D",0x0000000000000001,"2",
"SentAnalyzer","nibble",2.766196,0.000044,,"D",0x0000000000000002,"3",
"SentAnalyzer","nibble",2.76624,0.000048,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",2.766288,0.00005,,"D",0x0000000000000004,"5",
"SentAnalyzer","nibble",2.766338,0.000054,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",2.766392,0.00004,,"CRC",0x0000000000000007,"1",
"SentAnalyzer","nibble",2.766432,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","sync",2.891742,0.000166,"2.964",,,,
"SentAnalyzer","nibble",2.891908,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","nibble",2.891944,0.000038,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",2.891982,0.000042,,"D",0x0000000000000001,"2",
"SentAnalyzer","nibble",2.892024,0.000046,,"D",0x0000000000000002,"4",
"SentAnalyzer","nibble",2.89207,0.000046,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",2.892116,0.000052,,"D",0x0000000000000004,"6",
"SentAnalyzer","nibble",2.892168,0.000052,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",2.89222,0.000042,,"CRC",0x0000000000000007,"2",
"SentAnalyzer","error",2.892262,0.000034,,,,,"ticks=11.0 out of range [12,27]"
"SentAnalyzer","sync",3.015774,0.000168,"3.000",,,,
"SentAnalyzer","nibble",3.015942,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","nibble",3.015978,0.000038,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",3.016016,0.000042,,"D",0x0000000000000001,"2",
"SentAnalyzer","nibble",3.016058,0.000044,,"D",0x0000000000000002,"3",
"SentAnalyzer","nibble",3.016102,0.000048,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",3.01615,0.00005,,"D",0x0000000000000004,"5",
"SentAnalyzer","nibble",3.0162,0.000054,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",3.016254,0.00004,,"CRC",0x0000000000000007,"1",
"SentAnalyzer","nibble",3.016294,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","sync",3.154754,0.000166,"2.964",,,,
"SentAnalyzer","nibble",3.15492,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","nibble",3.154956,0.00004,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",3.154996,0.00004,,"D",0x0000000000000001,"1",
"SentAnalyzer","nibble",3.155036,0.000046,,"D",0x0000000000000002,"4",
"SentAnalyzer","nibble",3.155082,0.000046,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",3.155128,0.000052,,"D",0x0000000000000004,"6",
"SentAnalyzer","nibble",3.15518,0.000052,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",3.155232,0.000042,,"CRC",0x0000000000000007,"2",
"SentAnalyzer","error",3.155274,0.000034,,,,,"ticks=11.0 out of range [12,27]"
"SentAnalyzer","sync",3.278958,0.000166,"2.964",,,,
"SentAnalyzer","nibble",3.279124,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","nibble",3.27916,0.00004,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",3.2792,0.00004,,"D",0x0000000000000001,"1",
"SentAnalyzer","nibble",3.27924,0.000046,,"D",0x0000000000000002,"4",
"SentAnalyzer","nibble",3.279286,0.000046,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",3.279332,0.000052,,"D",0x0000000000000004,"6",
"SentAnalyzer","nibble",3.279384,0.000052,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",3.279436,0.000042,,"CRC",0x0000000000000007,"2",
"SentAnalyzer","error",3.279478,0.000034,,,,,"ticks=11.0 out of range [12,27]"
"SentAnalyzer","sync",3.40458,0.000166,"2.964",,,,
"SentAnalyzer","nibble",3.404746,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","nibble",3.404782,0.00004,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",3.404822,0.000042,,"D",0x0000000000000001,"2",
"SentAnalyzer","nibble",3.404864,0.000044,,"D",0x0000000000000002,"3",
"SentAnalyzer","nibble",3.404908,0.000048,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",3.404956,0.00005,,"D",0x0000000000000004,"5",
"SentAnalyzer","nibble",3.405006,0.000054,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",3.40506,0.00004,,"CRC",0x0000000000000007,"1",
