Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1.394516692,1,1,1,1,1,1,1,1
1.394868000,1,1,0,1,1,1,1,1
1.394892000,1,1,1,1,1,1,1,1
1.395038000,1,1,0,1,1,1,1,1
1.395062000,1,1,1,1,1,1,1,1
1.395076000,1,1,0,1,1,1,1,1
1.395102000,1,1,1,1,1,1,1,1
1.395122000,1,1,0,1,1,1,1,1
1.395146000,1,1,1,1,1,1,1,1
1.395166000,1,1,0,1,1,1,1,1
1.395190000,1,1,1,1,1,1,1,1
1.395214000,1,1,0,1,1,1,1,1
1.395238000,1,1,1,1,1,1,1,1
1.395266000,1,1,0,1,1,1,1,1
1.395290000,1,1,1,1,1,1,1,1
1.395318000,1,1,0,1,1,1,1,1
1.395344000,1,1,1,1,1,1,1,1
1.395376000,1,1,0,1,1,1,1,1
1.395400000,1,1,1,1,1,1,1,1
1.395420000,1,1,0,1,1,1,1,1
1.395444000,1,1,1,1,1,1,1,1
1.397174631,1,1,1,1,1,1,1,1
